id,category,difficulty_pool,label_gt,handled_locally,sentiment_label,confidence,margin,answer_tokens,judge_tokens,correct,reason
q239,sentiment_classification,easy,easy,True,Positive,0.9909,0.9856,0,390,True,
q240,sentiment_classification,easy,easy,True,Positive,0.9898,0.9834,0,451,True,
q237,sentiment_classification,easy,easy,False,escalated,0.0,0.0,87,413,True,fallback_required
q232,sentiment_classification,easy,easy,True,Negative,0.9589,0.9236,0,427,True,
q241,sentiment_classification,easy,easy,True,Negative,0.963,0.9311,0,390,True,
q238,sentiment_classification,easy,easy,True,Positive,0.8303,0.6739,0,462,True,
q244,sentiment_classification,easy,easy,True,Negative,0.9446,0.8958,0,389,True,
q242,sentiment_classification,easy,easy,True,Positive,0.991,0.985,0,375,True,
q245,sentiment_classification,easy,easy,True,Negative,0.9384,0.8833,0,396,True,
q243,sentiment_classification,easy,easy,True,Positive,0.9613,0.9274,0,408,True,
q247,sentiment_classification,easy,easy,True,Positive,0.991,0.985,0,409,True,
q248,sentiment_classification,easy,easy,True,Positive,0.9899,0.9836,0,460,True,
q246,sentiment_classification,easy,easy,True,Positive,0.9914,0.9861,0,403,True,
q249,sentiment_classification,hard,easy,False,escalated,0.0,0.0,333,824,False,fallback_required
q258,sentiment_classification,hard,hard,False,escalated,0.0,0.0,487,976,False,fallback_required
q252,sentiment_classification,hard,easy,False,escalated,0.0,0.0,618,1103,False,fallback_required
q257,sentiment_classification,hard,hard,False,escalated,0.0,0.0,474,967,False,fallback_required
q250,sentiment_classification,hard,hard,False,escalated,0.0,0.0,335,819,False,fallback_required
q256,sentiment_classification,hard,hard,False,escalated,0.0,0.0,422,911,False,fallback_required
q259,sentiment_classification,hard,hard,False,escalated,0.0,0.0,385,873,False,fallback_required
q253,sentiment_classification,hard,hard,False,escalated,0.0,0.0,673,1159,False,fallback_required
q254,sentiment_classification,hard,easy,False,escalated,0.0,0.0,491,974,False,fallback_required
q251,sentiment_classification,hard,hard,False,escalated,0.0,0.0,389,879,False,fallback_required
q260,sentiment_classification,hard,easy,False,escalated,0.0,0.0,406,901,False,fallback_required
q265,sentiment_classification,hard,easy,False,escalated,0.0,0.0,466,958,False,fallback_required
q261,sentiment_classification,hard,easy,False,escalated,0.0,0.0,457,950,False,fallback_required
q263,sentiment_classification,hard,easy,False,escalated,0.0,0.0,487,975,False,fallback_required
q269,sentiment_classification,hard,hard,False,escalated,0.0,0.0,664,1155,False,fallback_required
q262,sentiment_classification,hard,easy,False,escalated,0.0,0.0,450,943,False,fallback_required
q264,sentiment_classification,hard,hard,False,escalated,0.0,0.0,630,1125,False,fallback_required
q266,sentiment_classification,hard,easy,False,escalated,0.0,0.0,451,940,False,fallback_required
q267,sentiment_classification,hard,hard,False,escalated,0.0,0.0,537,1036,False,fallback_required
q270,sentiment_classification,hard,easy,False,escalated,0.0,0.0,772,1272,False,fallback_required
q275,sentiment_classification,hard,easy,False,escalated,0.0,0.0,548,1033,False,fallback_required
q272,sentiment_classification,hard,easy,False,escalated,0.0,0.0,463,953,False,fallback_required
q273,sentiment_classification,hard,easy,False,escalated,0.0,0.0,493,983,False,fallback_required
q271,sentiment_classification,hard,hard,False,escalated,0.0,0.0,386,881,False,fallback_required
q279,sentiment_classification,hard,hard,False,escalated,0.0,0.0,542,1035,True,fallback_required
q280,sentiment_classification,hard,easy,False,escalated,0.0,0.0,643,1141,False,fallback_required
q274,sentiment_classification,hard,hard,False,escalated,0.0,0.0,729,1214,True,fallback_required
q278,sentiment_classification,hard,hard,False,escalated,0.0,0.0,652,1148,False,fallback_required
q281,sentiment_classification,hard,hard,False,escalated,0.0,0.0,391,888,False,fallback_required
q276,sentiment_classification,hard,easy,False,escalated,0.0,0.0,338,830,False,fallback_required
q277,sentiment_classification,hard,hard,False,escalated,0.0,0.0,399,885,False,fallback_required
q282,sentiment_classification,hard,easy,False,escalated,0.0,0.0,455,947,False,fallback_required
q285,sentiment_classification,hard,easy,False,escalated,0.0,0.0,233,725,False,fallback_required
q283,sentiment_classification,hard,easy,False,escalated,0.0,0.0,440,929,False,fallback_required
q284,sentiment_classification,hard,hard,False,escalated,0.0,0.0,403,901,False,fallback_required
q287,sentiment_classification,hard,easy,False,escalated,0.0,0.0,514,1000,False,fallback_required
q293,sentiment_classification,hard,easy,False,escalated,0.0,0.0,400,773,True,fallback_required
q289,sentiment_classification,hard,hard,False,escalated,0.0,0.0,467,960,False,fallback_required
q291,sentiment_classification,hard,easy,False,escalated,0.0,0.0,367,861,False,fallback_required
q292,sentiment_classification,hard,hard,False,escalated,0.0,0.0,401,895,False,fallback_required
q286,sentiment_classification,hard,easy,False,escalated,0.0,0.0,431,918,False,fallback_required
q288,sentiment_classification,hard,hard,False,escalated,0.0,0.0,612,1096,False,fallback_required
q298,sentiment_classification,hard,hard,False,escalated,0.0,0.0,363,860,False,fallback_required
q297,sentiment_classification,hard,hard,False,escalated,0.0,0.0,585,1074,True,fallback_required
q290,sentiment_classification,hard,easy,False,escalated,0.0,0.0,346,836,False,fallback_required
q299,sentiment_classification,hard,easy,False,escalated,0.0,0.0,411,908,False,fallback_required
q300,sentiment_classification,hard,hard,False,escalated,0.0,0.0,788,1277,False,fallback_required
q310,sentiment_classification,hard,easy,False,escalated,0.0,0.0,706,1181,False,fallback_required
q325,sentiment_classification,hard,easy,False,escalated,0.0,0.0,622,1111,False,fallback_required
